check,passed,detail
master_rows,True,17191
master_unique_keys,True,
master_keys_present,True,
master_labels_binary,True,
master_review_count,True,
master_key_set,True,
jev_rows,True,17191
jev_unique_keys,True,
jev_keys_present,True,
jev_labels_binary,True,
jev_review_count,True,
jev_key_set,True,
baseline_rows,True,17191
baseline_unique_keys,True,
baseline_keys_present,True,
baseline_labels_binary,True,
baseline_review_count,True,
baseline_key_set,True,
context_review_unique,True,
context_review_set,True,
quality_review_unique,True,
quality_review_set,True,
context_required_text,True,
labels_identical,True,
all_jev_success,True,
jev_model,True,
jev_probability_sum,True,
jev_prompt_hash,True,
lr_loro_p_include_finite,True,
tfidf_score_finite,True,
minilm_score_finite,True,
bm25_score_finite,True,
tfidf_rank_pct_finite,True,
p_include_finite,True,
minilm_rank_pct_finite,True,
bm25_rank_pct_finite,True,
p_include_range,True,
lr_loro_p_include_range,True,
jev_decision_valid,True,
lr_loro_decision_valid,True,
lr_decision_matches_frozen_threshold,True,
BM25_rank_pct_reproduced,True,
TF-IDF_rank_pct_reproduced,True,
MiniLM_rank_pct_reproduced,True,
Bos_2018_quality_n_usable,True,
Bos_2018_quality_positive_n,True,
Bos_2018_lr_training_n,True,
Bos_2018_lr_training_positive_n,True,
Chou_2003_quality_n_usable,True,
Chou_2003_quality_positive_n,True,
Chou_2003_lr_training_n,True,
Chou_2003_lr_training_positive_n,True,
Donners_2021_quality_n_usable,True,
Donners_2021_quality_positive_n,True,
Donners_2021_lr_training_n,True,
Donners_2021_lr_training_positive_n,True,
Meijboom_2021_quality_n_usable,True,
Meijboom_2021_quality_positive_n,True,
Meijboom_2021_lr_training_n,True,
Meijboom_2021_lr_training_positive_n,True,
Menon_2022_quality_n_usable,True,
Menon_2022_quality_positive_n,True,
Menon_2022_lr_training_n,True,
Menon_2022_lr_training_positive_n,True,
Nelson_2002_quality_n_usable,True,
Nelson_2002_quality_positive_n,True,
Nelson_2002_lr_training_n,True,
Nelson_2002_lr_training_positive_n,True,
Oud_2018_quality_n_usable,True,
Oud_2018_quality_positive_n,True,
Oud_2018_lr_training_n,True,
Oud_2018_lr_training_positive_n,True,
Wolters_2018_quality_n_usable,True,
Wolters_2018_quality_positive_n,True,
Wolters_2018_lr_training_n,True,
Wolters_2018_lr_training_positive_n,True,
van_der_Valk_2021_quality_n_usable,True,
van_der_Valk_2021_quality_positive_n,True,
van_der_Valk_2021_lr_training_n,True,
van_der_Valk_2021_lr_training_positive_n,True,
van_der_Waal_2022_quality_n_usable,True,
van_der_Waal_2022_quality_positive_n,True,
van_der_Waal_2022_lr_training_n,True,
van_der_Waal_2022_lr_training_positive_n,True,
Jev_independent_auc,True,
Jev_independent_ap,True,
BM25_independent_auc,True,
BM25_independent_ap,True,
TF-IDF_independent_auc,True,
TF-IDF_independent_ap,True,
MiniLM_independent_auc,True,
MiniLM_independent_ap,True,
LR_independent_auc,True,
LR_independent_ap,True,
zero_cost_baseline_protocol.json_unchanged_after_analysis,True,
zero_cost_baseline_summary.txt_unchanged_after_analysis,True,
zero_cost_baseline_results.csv_unchanged_after_analysis,True,
data_quality_report.csv_unchanged_after_analysis,True,
review_context.csv_unchanged_after_analysis,True,
jev_full_run_summary.txt_unchanged_after_analysis,True,
jev_full_protocol.json_unchanged_after_analysis,True,
jev_full_results.csv_unchanged_after_analysis,True,
jev_benchmark_master_usable.csv_unchanged_after_analysis,True,
